location,text,hashtags,tweetcreatedts
"Chicago, IL",Arkansas Republican County Chair Dies of COVID-19 Weeks After His Committee Hosted Maskless Gathering https://t.co/7PiPPevw7Y via @Yahoo,[],2020-10-06 19:07:13
"New York, USA","Joe Biden in June:

120 million Americans have died from COVID-19

Joe Biden in September:

200 million Americans have died from COVID-19

Joe Biden yesterday:

210 million Americans have died from COVID-19

Do we really want this man to have control over the nuclear button?",[],2020-10-06 19:07:12
"Sylmar, Los Angeles",#BREAKING Facebook removes President Trump's post falsely saying flu is more lethal than COVID-19 https://t.co/M7jcTVtnA8,"[{'text': 'BREAKING', 'indices': [10, 19]}]",2020-10-06 19:07:11
New York,"Dear medical students, we will be happy to see your research proposals in our congress. for more info: https://t.co/xmSIzESClR
 #MedicReS #jr2020 #medical #kardiyoloji #cardiology #medicine #doctor #health #covid #healthcare #hospital #nurse #doctors #medicalstudent #surgery https://t.co/jd3c8ZM8LG",[],2020-10-06 19:07:09
"New York, USA",Pharaoh woah now you know low low woah sue sew po Poe poeee tttt cc huh hjjjj ooooooo #parody #artist #Halloween #SNL #memes #comedy #youtube #animation #gaming #twitch #Election2020 #hiphop #actor #TuesdayThoughts #popmusic #writer #politics #poetry #funny #horror #coronavirus,"[{'text': 'parody', 'indices': [86, 93]}, {'text': 'artist', 'indices': [94, 101]}, {'text': 'Halloween', 'indices': [102, 112]}, {'text': 'SNL', 'indices': [113, 117]}, {'text': 'memes', 'indices': [118, 124]}, {'text': 'comedy', 'indices': [125, 132]}, {'text': 'youtube', 'indices': [133, 141]}, {'text': 'animation', 'indices': [142, 152]}, {'text': 'gaming', 'indices': [153, 160]}, {'text': 'twitch', 'indices': [161, 168]}, {'text': 'Election2020', 'indices': [169, 182]}, {'text': 'hiphop', 'indices': [183, 190]}, {'text': 'actor', 'indices': [191, 197]}, {'text': 'TuesdayThoughts', 'indices': [198, 214]}, {'text': 'popmusic', 'indices': [215, 224]}, {'text': 'writer', 'indices': [225, 232]}, {'text': 'politics', 'indices': [233, 242]}, {'text': 'poetry', 'indices': [243, 250]}, {'text': 'funny', 'indices': [251, 257]}, {'text': 'horror', 'indices': [258, 265]}, {'text': 'coronavirus', 'indices': [266, 278]}]",2020-10-06 19:07:08
"San Francisco, CA",The #pandemic has taken a heavier toll on women in so many ways. Student/learner evaluations are tougher on women (!) and women do more heavy lifting around childcare at home and teaching/mentoring at work. #WomenInSTEM #WomenInScience #WomenInMedicine https://t.co/ublBoaJ98S,"[{'text': 'pandemic', 'indices': [18, 27]}]",2020-10-06 19:07:07
"New York, USA","Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...",[],2020-10-06 19:07:07
"New York, USA",nobody recovers from COVID-19 in 3 days ... specially not a 74 year old man,[],2020-10-06 19:07:05
New York,"Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...",[],2020-10-06 19:07:03
New York,"Universal Screening for #SARS_CoV_2  in #Women Admitted for Delivery | @NEJM https://t.co/R57sP0Ip6k 
#MedicReS2020 #GoodMedicalResearch #BeGMR  #EPICOS #MedicReSClub #pandemic #research #MedicReS","[{'text': 'SARS_CoV_2', 'indices': [24, 35]}, {'text': 'Women', 'indices': [40, 46]}, {'text': 'MedicReS2020', 'indices': [102, 115]}, {'text': 'GoodMedicalResearch', 'indices': [116, 136]}, {'text': 'BeGMR', 'indices': [137, 143]}, {'text': 'EPICOS', 'indices': [145, 152]}, {'text': 'MedicReSClub', 'indices': [153, 166]}, {'text': 'pandemic', 'indices': [167, 176]}, {'text': 'research', 'indices': [177, 186]}, {'text': 'MedicReS', 'indices': [187, 196]}]",2020-10-06 19:07:02
Los Angeles,"* VICE COMMANDANT OF U.S. COAST GUARD, ADMIRAL CHARLES RAY, TESTS POSITIVE FOR COVID-19 - STATEMENT

@Reuters",[],2020-10-06 19:07:01
"New York, NY","@soccorrio @AOAforDOs @NYCOMECCorp @AACOMmunities @ACOSurgeons Dr. Conley is qualified enuf to be Trump’s primary care physician. That’s his role: primary care physician. Trump then got COVID-19, and Dr. Conley continued to care for Trump while assembling a team of specialists to provide recommendations &amp; counsel specific to COVID.",[],2020-10-06 19:07:01
"Rikers Island Prison, Queens, New York",This 8 second clip of Trump ‘gasping for air’ raises questions about his recovery from Covid-19 https://t.co/aUXgBTZhKW,[],2020-10-06 19:06:58
San Francisco,"US Coast Guard Lt. Cdr. Jayna McCarron, a White House Military Office aide who regularly carries the nuclear ""Football"" for Donald Trump, has contracted COVID-19, @JenniferJJacobs has learned. McCarron last accompanied Trump to Bedminster, NJ, on Thursday. https://t.co/c4XI1ltIJB",[],2020-10-06 19:06:57
"New York, NY","Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...",[],2020-10-06 19:06:56
"New York, NY","When you die of COVID-19, you die alone. https://t.co/egpA4u9tNT",[],2020-10-06 19:06:56
Just outside San Francisco,"Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...",[],2020-10-06 19:06:53
