"","location","text","hashtags","tweetcreatedts"
"1","Los Angeles","trump biggest source covid misinformation finds","[]",2020-10-05
"2","Miami","got phone coach bowden told hes feeling okay tested positive covid while hospital last week doesnt contracted told hes getting tested today","[]",2020-10-05
"3","New York","reports receiving either hydroxychloroquine chloroquine since being diagnosed covid","[]",2020-10-05
"4","San Francisco","president trump s treatment regimen covid suggests s either being overtreated sicker being let based interviews physicians past days","[]",2020-10-05
"5","Chicago","wife doesn t believe kayleigh mcenany trump staff covid thinks saying trump really really doesn t m inclined agree especially leaves walter reed today","[]",2020-10-05
"6","Chicago","senior government officials announce diagnoses covid immediately senior officials risk s im calling congress establish clear standards public disclosure senior officials becoming infected covid","[]",2020-10-05
"7","San Francisco","remember navy captain lost job worried crew spread covid captain brett crozier yep april","[]",2020-10-05
"8","New York","spat between mayor governor ahead cuomo s book leadership lessons covid pandemic comes next week","[]",2020-10-05
"9","New York","breaking adds covid guidelines acknowledgment tiny particles transmit coronavirus weeks deleting references role story coming","[]",2020-10-05
"10","Chicago","president trump fails control covid country white gets sick himself campaign attacks joe biden having covid","[]",2020-10-05
"11","San Francisco","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"12","New York","wing pseudo historian david barton says bill rights widely violated government overreach during covid pandemic including violations third amendment","[]",2020-10-05
"13","Miami","u coach bowden s speedy recovery best ever former fsu football coach bobby bowden tests positive covid","[]",2020-10-05
"14","San Francisco","news wear masks test covid","[]",2020-10-05
"15","New York","arkansas school superintendent dies covid","[]",2020-10-05
"16","New York","breaking reports attorney general bill bar tested positive covid debunked fake","[]",2020-10-05
"17","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"18","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"19","New York","breaking adds covid guidelines acknowledgment tiny particles transmit coronavirus weeks deleting references role story coming","[]",2020-10-05
"20","Los Angeles","guatemala u s bound caravan covid contagion risk","[]",2020-10-05
