location,text,hashtags,tweetcreatedts
Miami ,"In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office https://t.co/1Aw2VHeiJ9",[],2020-10-10 16:23:10
"Los Angeles, CA","Garcetti Says Some, But Not All, Parks and Playgrounds Reopen amid COVID-19 https://t.co/PSWC95Ja7b",[],2020-10-10 16:23:07
New York - London - Lagos ✈,"The perception that wearing masks and following social distancing guidelines are unmanly has carried a destructive cost, some experts who study masculinity and public health say. 

Covid-19 has infected more men than women and killed far more of them. https://t.co/ZnvJMVOR2x",[],2020-10-10 16:23:05
"New York City, NY","Why Juice Plus+? 40 independent, peer reviewed studies published in medical journals showing JP+ promotes good health by supporting a healthy immune system &amp; more. See the research 👉https://t.co/vMXNbQB82F #Health #selfcare #selfcaresaturday #SaturdayThoughts https://t.co/Rn7R2Osmtl","[{'text': 'Health', 'indices': [210, 217]}, {'text': 'selfcare', 'indices': [218, 227]}, {'text': 'selfcaresaturday', 'indices': [228, 245]}, {'text': 'SaturdayThoughts', 'indices': [246, 263]}]",2020-10-10 16:23:04
"Los Angeles, CA",ICYMI....⁦@LAGalaxy⁩ game in Colorado postponed after Rapids’ player tested positive for COVID-19 https://t.co/fvPyEHKbdg,[],2020-10-10 16:23:03
"LOS ANGELES, CA",You are being set up to blame each other for the spread of COVID-19 to distract you from the deliberate failures of governments and corporations who've contributed far more to the pandemic.,[],2020-10-10 16:22:55
Chicago,"Some students want Notre Dame’s president to resign after he was seen without a mask at the White House SCOTUS ceremony. He later contracted Covid-19.

“To see him breaking his own rules … made us feel like we were disrespected as a student body,” student Ashton Weber says. https://t.co/8svwHR42gF",[],2020-10-10 16:22:50
"PiChilemu, SCL, WL & Chicago","Wouldn't it be awesome, if @Google were to double our @gmail capacity, as the use of Internet and documents on the web has exploded due to #coronavirus #pandemic? RT to have the wish granted 🙏👏💪 #GoogleMeet #google #gmail #COVID19","[{'text': 'coronavirus', 'indices': [139, 151]}, {'text': 'pandemic', 'indices': [152, 161]}, {'text': 'GoogleMeet', 'indices': [195, 206]}, {'text': 'google', 'indices': [207, 214]}, {'text': 'gmail', 'indices': [215, 221]}, {'text': 'COVID19', 'indices': [222, 230]}]",2020-10-10 16:22:49
New York City,"The American people are in desperate need of COVID-19 relief.

That’s why House Dems have passed the #HeroesAct.

Twice.

Trump and Senate Republicans are still missing in action.

SHAMEFUL.","[{'text': 'HeroesAct', 'indices': [118, 128]}]",2020-10-10 16:22:47
"Los Angeles, CA","&gt;&gt; @LorraineAli on Trump's televised doctor visit: ""The interview resembled the type of propaganda we’re used to seeing from foreign dictators, pumped out via state-sponsored media..."" https://t.co/kn9Cw8NrpK",[],2020-10-10 16:22:47
